,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
CDSN,3.0000000055407248,3.000000000833209,2.9999999989063224,-4.707515710578036e-09,4.28064472757228e-09
SLPI,3.0000000050890367,2.999999999160543,3.000000008195639,-5.928493695961379e-09,-6.0708487126248656e-09
KRT31,3.000000004053993,2.999999997045459,3.0000000081387865,-7.008534197439076e-09,-7.589060491142163e-09
DEFB103A,3.0000000040301114,2.9999999969337456,2.999999988079071,-7.096365717274011e-09,1.2402857407778356e-08
C1orf189,3.000000003983991,2.9999999982569587,3.0000000201165675,-5.727032181823688e-09,-1.899609269884195e-08
SFTA2,3.0000000033889793,2.999999997167985,3.0000000223328245,-6.220994386296752e-09,-2.2054342352362255e-08
LCE3D,3.000000003368203,2.999999994768588,2.9999999435582856,-8.59961524213304e-09,5.551010984206073e-08
OMP,3.000000002774565,2.9999999988685038,3.0000000204890966,-3.9060612522234806e-09,-1.966756224547339e-08
GAL,3.0000000026885605,3.0000000000644906,3.00000000493601,-2.624069850298838e-09,-3.559484262893875e-09
LCE2A,3.000000002591104,3.000000000677851,2.999999999872948,-1.9132531114962603e-09,1.7615295888617766e-09
DEFB4A,3.000000002355078,3.00000000122528,2.999999999627471,-1.1297980329061375e-09,2.162707790631657e-09
LCE4A,3.000000002309032,2.9999999937587103,3.000000021642909,-8.550321783928894e-09,-2.3609037391736365e-08
LCE3E,3.000000002236777,2.9999999982623864,3.0000000126068826,-3.9743905944078506e-09,-1.2357300960275097e-08
FLG2,3.00000000211178,3.000000003345866,2.999999988530567,1.234085722501277e-09,1.4198255904318557e-08
LCE6A,3.0000000016378916,3.000000004535515,3.000000001012718,2.8976234744959584e-09,2.0739854278417624e-09
ERVFRD-1,3.00000000112665,3.0000000028001352,3.000000008544157,1.6734853502953229e-09,-6.580764377872583e-09
SPRR2G,3.0000000010669003,2.999999996190025,2.9999999942965294,-4.8768753480032956e-09,4.331933034507074e-09
KRT2,3.0000000008426424,2.9999999987763,3.000000000032017,-2.066342208451033e-09,-2.2254553755374218e-10
KRT6B,3.0000000007486247,3.000000008233654,2.9999999816529455,7.485029485110317e-09,2.2838194002616774e-08
GJB3,3.000000000724362,3.0000000062089724,3.000000008195639,5.4846105435046866e-09,-4.728971880751942e-09
LCE2D,3.000000000173655,3.0000000054926845,2.999999984474154,5.3190296611660415e-09,1.8359015641067344e-08
TOP3BP1,3.0,3.0,3.0,0.0,0.0
SIAH2-AS1,3.0,3.0,3.0,0.0,0.0
FAM187B2P,3.0,3.0,3.0,0.0,0.0
GPS2P1,3.0,3.0,3.0,0.0,0.0
POLD2P1,3.0,3.0,3.0,0.0,0.0
CLK3P2,3.0,3.0,3.0,0.0,0.0
SPANXB1,3.0,3.0,3.0,0.0,0.0
PPP1R14BP2,3.0,3.0,3.0,0.0,0.0
FXYD6P2,3.0,3.0,3.0,0.0,0.0
RNA5S9,3.0,3.0,3.0,0.0,0.0
CYP4F29P,3.0,3.0,3.0,0.0,0.0
DMRTA1,3.0,3.0,3.0,0.0,0.0
TRBV5-1,3.0,3.0,3.0,0.0,0.0
PNMT,3.0,3.0,3.0,0.0,0.0
C22orf31,3.0,3.0,3.0,0.0,0.0
TUBBP2,3.0,3.0,3.0,0.0,0.0
PF4V1,3.0,3.0,3.0,0.0,0.0
CHRNA9,3.0,3.0,3.0,0.0,0.0
S100P,3.0,3.0,3.0,0.0,0.0
CHL1-AS1,3.0,3.0,3.0,0.0,0.0
TMEM14D,3.0,3.0,3.0,0.0,0.0
RPL23AP64,3.0,3.0,3.0,0.0,0.0
HIF1A-AS2,3.0,3.0,3.0,0.0,0.0
IGLV5-48,3.0,3.0,3.0,0.0,0.0
HOXA10-AS,3.0,3.0,3.0,0.0,0.0
AGBL5-AS1,3.0,3.0,3.0,0.0,0.0
ACER1,3.0,3.0,3.0,0.0,0.0
RN7SKP271,3.0,3.0,3.0,0.0,0.0
PKNOX2-AS1,3.0,3.0,3.0,0.0,0.0
OVCH1-AS1,3.0,3.0,3.0,0.0,0.0
RPS15AP40,3.0,3.0,3.0,0.0,0.0
RPSAP34,3.0,3.0,3.0,0.0,0.0
RPS9P1,3.0,3.0,3.0,0.0,0.0
HCG23,3.0,3.0,3.0,0.0,0.0
TRGV3,3.0,3.0,3.0,0.0,0.0
FAM83B,3.0,3.0,3.0,0.0,0.0
RPL34P34,3.0,3.0,3.0,0.0,0.0
FERP1,3.0,3.0,3.0,0.0,0.0
GPAA1P1,3.0,3.0,3.0,0.0,0.0
PPIAP6,3.0,3.0,3.0,0.0,0.0
RPL29P24,3.0,3.0,3.0,0.0,0.0
SDHAP2,3.0,3.0,3.0,0.0,0.0
RAP1AP,3.0,3.0,3.0,0.0,0.0
MTHFD2P1,3.0,3.0,3.0,0.0,0.0
HCFC1-AS1,3.0,3.0,3.0,0.0,0.0
EIF5AP3,3.0,3.0,3.0,0.0,0.0
FOXD1-AS1,3.0,3.0,3.0,0.0,0.0
RNVU1-6,3.0,3.0,3.0,0.0,0.0
SYNE1-AS1,3.0,3.0,3.0,0.0,0.0
RPS27AP2,3.0,3.0,3.0,0.0,0.0
NXNL1,3.0,3.0,3.0,0.0,0.0
RPL21P134,3.0,3.0,3.0,0.0,0.0
HOXC13-AS,3.0,3.0,3.0,0.0,0.0
RPL36AP29,3.0,3.0,3.0,0.0,0.0
IGHV7-40,3.0,3.0,3.0,0.0,0.0
DDX39BP2,3.0,3.0,3.0,0.0,0.0
PTMAP8,3.0,3.0,3.0,0.0,0.0
MED28P3,3.0,3.0,3.0,0.0,0.0
SCOCP1,3.0,3.0,3.0,0.0,0.0
RPS15AP38,3.0,3.0,3.0,0.0,0.0
CENPVP3,3.0,3.0,3.0,0.0,0.0
OR2L1P,3.0,3.0,3.0,0.0,0.0
PSORS1C2,3.0,3.0,3.0,0.0,0.0
HMGN1P8,3.0,3.0,3.0,0.0,0.0
PLA2G3,3.0,3.0,3.0,0.0,0.0
REG1A,3.0,3.0,3.0,0.0,0.0
PFN1P6,3.0,3.0,3.0,0.0,0.0
VSTM2B,3.0,3.0,3.0,0.0,0.0
KHDC1L,3.0,3.0,3.0,0.0,0.0
RPL23AP63,3.0,3.0,3.0,0.0,0.0
CETN4P,3.0,3.0,3.0,0.0,0.0
BMS1P9,3.0,3.0,3.0,0.0,0.0
PHKA1P1,3.0,3.0,3.0,0.0,0.0
TRAV12-2,3.0,3.0,3.0,0.0,0.0
CTAGE15,3.0,3.0,3.0,0.0,0.0
DPEP3,3.0,3.0,3.0,0.0,0.0
DKFZP434L187,3.0,3.0,3.0,0.0,0.0
MAGEA9,3.0,3.0,3.0,0.0,0.0
IRX1,3.0,3.0,3.0,0.0,0.0
IGLV3-22,3.0,3.0,3.0,0.0,0.0
BPIFB4,3.0,3.0,3.0,0.0,0.0
PRDM13,3.0,3.0,3.0,0.0,0.0
COX5BP6,3.0,3.0,3.0,0.0,0.0
LURAP1L-AS1,3.0,3.0,3.0,0.0,0.0
RPL34P6,3.0,3.0,3.0,0.0,0.0
DENND6A-AS1,3.0,3.0,3.0,0.0,0.0
TRGV4,3.0,3.0,3.0,0.0,0.0
RPL18P10,3.0,3.0,3.0,0.0,0.0
SHISA3,3.0,3.0,3.0,0.0,0.0
TRAV40,3.0,3.0,3.0,0.0,0.0
CAPNS2,3.0,3.0,3.0,0.0,0.0
RPTN,3.0,3.0,3.0,0.0,0.0
CST4,3.0,3.0,3.0,0.0,0.0
GRPEL2-AS1,3.0,3.0,3.0,0.0,0.0
IL22RA1,3.0,3.0,3.0,0.0,0.0
RPL7P50,3.0,3.0,3.0,0.0,0.0
SEC62-AS1,3.0,3.0,3.0,0.0,0.0
GTSF1L,3.0,3.0,3.0,0.0,0.0
KLHL2P1,3.0,3.0,3.0,0.0,0.0
ZDHHC20-IT1,3.0,3.0,3.0,0.0,0.0
ZNF649-AS1,3.0,3.0,3.0,0.0,0.0
TPT1P5,3.0,3.0,3.0,0.0,0.0
CYCSP52,3.0,3.0,3.0,0.0,0.0
SEPT14P12,3.0,3.0,3.0,0.0,0.0
TMEM189-UBE2V1,3.0,3.0,3.0,0.0,0.0
CHP2,3.0,3.0,3.0,0.0,0.0
RPS26P21,3.0,3.0,3.0,0.0,0.0
IGKV2D-28,3.0,3.0,3.0,0.0,0.0
TRAV8-6,3.0,3.0,3.0,0.0,0.0
PIN4P1,3.0,3.0,3.0,0.0,0.0
HOXD13,3.0,3.0,3.0,0.0,0.0
SNX18P26,3.0,3.0,3.0,0.0,0.0
NFYAP1,3.0,3.0,3.0,0.0,0.0
TRBV6-4,3.0,3.0,3.0,0.0,0.0
RPS12P31,3.0,3.0,3.0,0.0,0.0
CD5L,3.0,3.0,3.0,0.0,0.0
DCAF13P2,3.0,3.0,3.0,0.0,0.0
HMHB1,3.0,3.0,3.0,0.0,0.0
CTSG,3.0,3.0,3.0,0.0,0.0
IFNG,3.0,3.0,3.0,0.0,0.0
BNIP3P17,3.0,3.0,3.0,0.0,0.0
DDX26B-AS1,3.0,3.0,3.0,0.0,0.0
OXT,3.0,3.0,3.0,0.0,0.0
EEF1E1P1,3.0,3.0,3.0,0.0,0.0
CCND2-AS1,3.0,3.0,3.0,0.0,0.0
CTAGE4,3.0,3.0,3.0,0.0,0.0
RPL10P15,3.0,3.0,3.0,0.0,0.0
IGHV3-62,3.0,3.0,3.0,0.0,0.0
IFITM4P,3.0,3.0,3.0,0.0,0.0
RN7SKP150,3.0,3.0,3.0,0.0,0.0
AGGF1P6,3.0,3.0,3.0,0.0,0.0
DNAJC8P1,3.0,3.0,3.0,0.0,0.0
PLA2G4D,3.0,3.0,3.0,0.0,0.0
RPL23AP32,3.0,3.0,3.0,0.0,0.0
CHRM1,3.0,3.0,3.0,0.0,0.0
OR2A1,3.0,3.0,3.0,0.0,0.0
CHCHD4P3,3.0,3.0,3.0,0.0,0.0
IGFBPL1,3.0,3.0,3.0,0.0,0.0
RPL23AP95,3.0,3.0,3.0,0.0,0.0
PFN1P3,3.0,3.0,3.0,0.0,0.0
RPL29P19,3.0,3.0,3.0,0.0,0.0
TRBV10-1,3.0,3.0,3.0,0.0,0.0
RPL31P49,3.0,3.0,3.0,0.0,0.0
SZT2-AS1,3.0,3.0,3.0,0.0,0.0
SKA2P1,3.0,3.0,3.0,0.0,0.0
ERICH2,3.0,3.0,3.0,0.0,0.0
MCF2L-AS1,3.0,3.0,3.0,0.0,0.0
HCCAT5,3.0,3.0,3.0,0.0,0.0
NPY6R,3.0,3.0,3.0,0.0,0.0
IFNWP19,3.0,3.0,3.0,0.0,0.0
RPL34P27,3.0,3.0,3.0,0.0,0.0
TRAV8-5,3.0,3.0,3.0,0.0,0.0
IGLC5,3.0,3.0,3.0,0.0,0.0
HAUS6P3,3.0,3.0,3.0,0.0,0.0
HCG14,3.0,3.0,3.0,0.0,0.0
PCNPP3,3.0,3.0,3.0,0.0,0.0
OSTN-AS1,3.0,3.0,3.0,0.0,0.0
NDUFA5P11,3.0,3.0,3.0,0.0,0.0
H3F3BP1,3.0,3.0,3.0,0.0,0.0
TRGV8,3.0,3.0,3.0,0.0,0.0
BTG1P1,3.0,3.0,3.0,0.0,0.0
IGLC3,3.0,3.0,3.0,0.0,0.0
HERC2P7,3.0,3.0,3.0,0.0,0.0
RNASE7,3.0,3.0,3.0,0.0,0.0
GAGE12C,3.0,3.0,3.0,0.0,0.0
GAGE12D,3.0,3.0,3.0,0.0,0.0
TSPEAR-AS2,3.0,3.0,3.0,0.0,0.0
RPLP1P11,3.0,3.0,3.0,0.0,0.0
CXCL5,3.0,3.0,3.0,0.0,0.0
UBA52P8,3.0,3.0,3.0,0.0,0.0
MKRN3-AS1,3.0,3.0,3.0,0.0,0.0
ATP6V0CP3,3.0,3.0,3.0,0.0,0.0
SPESP1,3.0,3.0,3.0,0.0,0.0
P3H2-AS1,3.0,3.0,3.0,0.0,0.0
RPL23AP3,3.0,3.0,3.0,0.0,0.0
GAPDHP22,3.0,3.0,3.0,0.0,0.0
CENPVP1,3.0,3.0,3.0,0.0,0.0
HLX-AS1,3.0,3.0,3.0,0.0,0.0
SUGT1P,3.0,3.0,3.0,0.0,0.0
IGHG2,3.0,3.0,3.0,0.0,0.0
FAM83C-AS1,3.0,3.0,3.0,0.0,0.0
TMEM185AP1,3.0,3.0,3.0,0.0,0.0
SNRK-AS1,3.0,3.0,3.0,0.0,0.0
EREG,3.0,3.0,3.0,0.0,0.0
FAM8A6P,3.0,3.0,3.0,0.0,0.0
TMED10P1,3.0,3.0,3.0,0.0,0.0
ITLN1,3.0,3.0,3.0,0.0,0.0
COX7BP1,3.0,3.0,3.0,0.0,0.0
GJB5,3.0,3.0,3.0,0.0,0.0
WNT5A-AS1,3.0,3.0,3.0,0.0,0.0
KCNQ5-IT1,3.0,3.0,3.0,0.0,0.0
HDAC11-AS1,3.0,3.0,3.0,0.0,0.0
ZNF32-AS1,3.0,3.0,3.0,0.0,0.0
OR5J2,3.0,3.0,3.0,0.0,0.0
TRBV7-4,3.0,3.0,3.0,0.0,0.0
MRPL45P1,3.0,3.0,3.0,0.0,0.0
CCL1,3.0,3.0,3.0,0.0,0.0
DSCR4-IT1,3.0,3.0,3.0,0.0,0.0
ZNF350-AS1,3.0,3.0,3.0,0.0,0.0
RPS12P28,3.0,3.0,3.0,0.0,0.0
HM13-AS1,3.0,3.0,3.0,0.0,0.0
CBX3P4,3.0,3.0,3.0,0.0,0.0
ODF2-AS1,3.0,3.0,3.0,0.0,0.0
ZDHHC20P1,3.0,3.0,3.0,0.0,0.0
DKFZp434J0226,3.0,3.0,3.0,0.0,0.0
HMGB3P32,3.0,3.0,3.0,0.0,0.0
ZNRF2P1,3.0,3.0,3.0,0.0,0.0
IGFL1P1,3.0,3.0,3.0,0.0,0.0
IGLC2,3.0,3.0,3.0,0.0,0.0
SNX18P7,3.0,3.0,3.0,0.0,0.0
TUFMP1,3.0,3.0,3.0,0.0,0.0
NAT8,3.0,3.0,3.0,0.0,0.0
IGLL3P,3.0,3.0,3.0,0.0,0.0
MTND4P12,3.0,3.0,3.0,0.0,0.0
HCN1,3.0,3.0,3.0,0.0,0.0
RN7SL199P,3.0,3.0,3.0,0.0,0.0
RN7SL656P,3.0,3.0,3.0,0.0,0.0
IGHV1OR15-1,3.0,3.0,3.0,0.0,0.0
OR2L13,3.0,3.0,3.0,0.0,0.0
RPL23AP81,3.0,3.0,3.0,0.0,0.0
RPS15AP24,3.0,3.0,3.0,0.0,0.0
CGB2,3.0,3.0,3.0,0.0,0.0
TRGV5P,3.0,3.0,3.0,0.0,0.0
HMGB1P41,3.0,3.0,3.0,0.0,0.0
RNU2-17P,3.0,3.0,3.0,0.0,0.0
RPL39P,3.0,3.0,3.0,0.0,0.0
GSTM3P1,3.0,3.0,3.0,0.0,0.0
TMEM215,3.0,3.0,3.0,0.0,0.0
RHOT1P2,3.0,3.0,3.0,0.0,0.0
E2F6P1,3.0,3.0,3.0,0.0,0.0
RPL21P110,3.0,3.0,3.0,0.0,0.0
IGHA2,3.0,3.0,3.0,0.0,0.0
RN7SKP173,3.0,3.0,3.0,0.0,0.0
EIF4EP1,3.0,3.0,3.0,0.0,0.0
ZBED9,3.0,3.0,3.0,0.0,0.0
RSL24D1P1,3.0,3.0,3.0,0.0,0.0
TUNAR,3.0,3.0,3.0,0.0,0.0
TH2LCRR,3.0,3.0,3.0,0.0,0.0
ACTC1,3.0,3.0,3.0,0.0,0.0
RPS20P22,3.0,3.0,3.0,0.0,0.0
SMCR2,3.0,3.0,3.0,0.0,0.0
RPL35P6,3.0,3.0,3.0,0.0,0.0
TFDP3,3.0,3.0,3.0,0.0,0.0
RPL23AP86,3.0,3.0,3.0,0.0,0.0
CDCA4P1,3.0,3.0,3.0,0.0,0.0
UNC93B3,3.0,3.0,3.0,0.0,0.0
IGBP1-AS1,3.0,3.0,3.0,0.0,0.0
ZRANB2-AS1,3.0,3.0,3.0,0.0,0.0
HRASLS2,3.0,3.0,3.0,0.0,0.0
KBTBD11-OT1,3.0,3.0,3.0,0.0,0.0
SLC25A36P1,3.0,3.0,3.0,0.0,0.0
NEUROG2,3.0,3.0,3.0,0.0,0.0
GCSAML-AS1,3.0,3.0,3.0,0.0,0.0
VCAN-AS1,3.0,3.0,3.0,0.0,0.0
ARF4P2,3.0,3.0,3.0,0.0,0.0
NUTF2P6,3.0,3.0,3.0,0.0,0.0
HMGB1P17,3.0,3.0,3.0,0.0,0.0
YWHAEP1,3.0,3.0,3.0,0.0,0.0
UBE2L4,3.0,3.0,3.0,0.0,0.0
CYP17A1-AS1,3.0,3.0,3.0,0.0,0.0
MED4-AS1,3.0,3.0,3.0,0.0,0.0
RPS12P21,3.0,3.0,3.0,0.0,0.0
TRIM51GP,3.0,3.0,3.0,0.0,0.0
PPP1R2P1,3.0,3.0,3.0,0.0,0.0
RPS19P3,3.0,3.0,3.0,0.0,0.0
RN7SL368P,3.0,3.0,3.0,0.0,0.0
KIAA0196-AS1,3.0,3.0,3.0,0.0,0.0
MTND6P4,3.0,3.0,3.0,0.0,0.0
PRSS44,3.0,3.0,3.0,0.0,0.0
BTF3L4P3,3.0,3.0,3.0,0.0,0.0
ZFHX4-AS1,3.0,3.0,3.0,0.0,0.0
RRM2P3,3.0,3.0,3.0,0.0,0.0
PPIAP9,3.0,3.0,3.0,0.0,0.0
SCGB2A2,3.0,3.0,3.0,0.0,0.0
BARHL2,3.0,3.0,3.0,0.0,0.0
LYPLA1P3,3.0,3.0,3.0,0.0,0.0
RNF185-AS1,3.0,3.0,3.0,0.0,0.0
TPSG1,3.0,3.0,3.0,0.0,0.0
SCARNA13,3.0,3.0,3.0,0.0,0.0
C20orf141,3.0,3.0,3.0,0.0,0.0
LENEP,3.0,3.0,3.0,0.0,0.0
KRTAP5-1,3.0,3.0,3.0,0.0,0.0
VN1R105P,3.0,3.0,3.0,0.0,0.0
ZNF321P,3.0,3.0,3.0,0.0,0.0
CRYBA4,3.0,3.0,3.0,0.0,0.0
NCBP2-AS1,3.0,3.0,3.0,0.0,0.0
RNF138P1,3.0,3.0,3.0,0.0,0.0
RPS19P1,3.0,3.0,3.0,0.0,0.0
ACCSL,3.0,3.0,3.0,0.0,0.0
GAPDHP27,3.0,3.0,3.0,0.0,0.0
FTLP2,3.0,3.0,3.0,0.0,0.0
GCNT1P3,3.0,3.0,3.0,0.0,0.0
UGT2B17,3.0,3.0,3.0,0.0,0.0
HEPHL1,3.0,3.0,3.0,0.0,0.0
PCP4L1,3.0,3.0,3.0,0.0,0.0
CPA3,3.0,3.0,3.0,0.0,0.0
RPL21P133,3.0,3.0,3.0,0.0,0.0
MYOZ2,3.0,3.0,3.0,0.0,0.0
IGLCOR22-1,3.0,3.0,3.0,0.0,0.0
CCDC169-SOHLH2,3.0,3.0,3.0,0.0,0.0
CACNG4,3.0,3.0,3.0,0.0,0.0
BOLA3P3,3.0,3.0,3.0,0.0,0.0
MANSC4,3.0,3.0,3.0,0.0,0.0
GK-AS1,3.0,3.0,3.0,0.0,0.0
EBAG9P1,3.0,3.0,3.0,0.0,0.0
RPS15P5,3.0,3.0,3.0,0.0,0.0
RPL23AP66,3.0,3.0,3.0,0.0,0.0
OR51B4,3.0,3.0,3.0,0.0,0.0
HCG4P8,3.0,3.0,3.0,0.0,0.0
RPL23AP57,3.0,3.0,3.0,0.0,0.0
TSSC1-IT1,3.0,3.0,3.0,0.0,0.0
ETV5-AS1,3.0,3.0,3.0,0.0,0.0
HIST1H2APS4,3.0,3.0,3.0,0.0,0.0
RPL36AP15,3.0,3.0,3.0,0.0,0.0
OR7E28P,3.0,3.0,3.0,0.0,0.0
DIRC1,3.0,3.0,3.0,0.0,0.0
RPS5P2,3.0,3.0,3.0,0.0,0.0
SCGB3A1,3.0,3.0,3.0,0.0,0.0
SATB2-AS1,3.0,3.0,3.0,0.0,0.0
OTOR,3.0,3.0,3.0,0.0,0.0
FOXL2,3.0,3.0,3.0,0.0,0.0
UGT1A7,3.0,3.0,3.0,0.0,0.0
RPL23AP20,3.0,3.0,3.0,0.0,0.0
PTP4A2P2,3.0,3.0,3.0,0.0,0.0
ADGRF5P1,3.0,3.0,3.0,0.0,0.0
PART1,3.0,3.0,3.0,0.0,0.0
MRPS18AP1,3.0,3.0,3.0,0.0,0.0
SLC51B,3.0,3.0,3.0,0.0,0.0
EEF1DP7,3.0,3.0,3.0,0.0,0.0
OR1F1,3.0,3.0,3.0,0.0,0.0
DDX39B-AS1,3.0,3.0,3.0,0.0,0.0
SLED1,3.0,3.0,3.0,0.0,0.0
FTH1P1,3.0,3.0,3.0,0.0,0.0
BTF3P4,3.0,3.0,3.0,0.0,0.0
KAAG1,3.0,3.0,3.0,0.0,0.0
RPL39P5,3.0,3.0,3.0,0.0,0.0
HOXB-AS2,3.0,3.0,3.0,0.0,0.0
RPL12P1,3.0,3.0,3.0,0.0,0.0
C1DP5,3.0,3.0,3.0,0.0,0.0
BFSP2,3.0,3.0,3.0,0.0,0.0
CLCA2,3.0,3.0,3.0,0.0,0.0
PGBD4P1,3.0,3.0,3.0,0.0,0.0
HMGB1P10,3.0,3.0,3.0,0.0,0.0
RPL23AP67,3.0,3.0,3.0,0.0,0.0
BNIP3P10,3.0,3.0,3.0,0.0,0.0
SAPCD1-AS1,3.0,3.0,3.0,0.0,0.0
ZEB2P1,3.0,3.0,3.0,0.0,0.0
PSMC1P5,3.0,3.0,3.0,0.0,0.0
GRM7-AS1,3.0,3.0,3.0,0.0,0.0
LBP,3.0,3.0,3.0,0.0,0.0
TPT1P6,3.0,3.0,3.0,0.0,0.0
VN1R83P,3.0,3.0,3.0,0.0,0.0
TUBB8P1,3.0,3.0,3.0,0.0,0.0
PACERR,3.0,3.0,3.0,0.0,0.0
UBBP1,3.0,3.0,3.0,0.0,0.0
ARMCX3-AS1,3.0,3.0,3.0,0.0,0.0
CDRT15P1,3.0,3.0,3.0,0.0,0.0
FAM195CP,3.0,3.0,3.0,0.0,0.0
NT5CP1,3.0,3.0,3.0,0.0,0.0
NDUFB8P2,3.0,3.0,3.0,0.0,0.0
RPL36AP21,3.0,3.0,3.0,0.0,0.0
TUBB8P2,3.0,3.0,3.0,0.0,0.0
FMR1-IT1,3.0,3.0,3.0,0.0,0.0
PPIAP13,3.0,3.0,3.0,0.0,0.0
BNIP3P27,3.0,3.0,3.0,0.0,0.0
OTOL1,3.0,3.0,3.0,0.0,0.0
NT5C1A,3.0,3.0,3.0,0.0,0.0
CLIC4P1,3.0,3.0,3.0,0.0,0.0
RPL21P131,3.0,3.0,3.0,0.0,0.0
RPL29P14,3.0,3.0,3.0,0.0,0.0
ZNF750,3.0,3.0,3.0,0.0,0.0
RHOA-IT1,3.0,3.0,3.0,0.0,0.0
GAPDHP71,3.0,3.0,3.0,0.0,0.0
RPRM,3.0,3.0,3.0,0.0,0.0
RPL35AP32,3.0,3.0,3.0,0.0,0.0
LARP1P1,3.0,3.0,3.0,0.0,0.0
THRSP,3.0,3.0,3.0,0.0,0.0
EEF1DP2,3.0,3.0,3.0,0.0,0.0
RNU1-82P,3.0,3.0,3.0,0.0,0.0
TRHDE-AS1,3.0,3.0,3.0,0.0,0.0
RPL23AP43,3.0,3.0,3.0,0.0,0.0
HM13-IT1,3.0,3.0,3.0,0.0,0.0
HMGB1P35,3.0,3.0,3.0,0.0,0.0
COX6B1P5,3.0,3.0,3.0,0.0,0.0
SCML2P2,3.0,3.0,3.0,0.0,0.0
C1QTNF1-AS1,3.0,3.0,3.0,0.0,0.0
RPL21P3,3.0,3.0,3.0,0.0,0.0
IBA57-AS1,3.0,3.0,3.0,0.0,0.0
TGFB2-AS1,3.0,3.0,3.0,0.0,0.0
GAPDHP59,3.0,3.0,3.0,0.0,0.0
PGAM1P7,3.0,3.0,3.0,0.0,0.0
RFPL4A,3.0,3.0,3.0,0.0,0.0
RPS20P10,3.0,3.0,3.0,0.0,0.0
IGKV7-3,3.0,3.0,3.0,0.0,0.0
GLTSCR2-AS1,3.0,3.0,3.0,0.0,0.0
PPIAP3,3.0,3.0,3.0,0.0,0.0
LOXL4,3.0,3.0,3.0,0.0,0.0
SNRPCP3,3.0,3.0,3.0,0.0,0.0
OSMR-AS1,3.0,3.0,3.0,0.0,0.0
RHOXF1,3.0,3.0,3.0,0.0,0.0
FAM96AP2,3.0,3.0,3.0,0.0,0.0
RPL13AP2,3.0,3.0,3.0,0.0,0.0
GXYLT1P3,3.0,3.0,3.0,0.0,0.0
PRDX1P1,3.0,3.0,3.0,0.0,0.0
SPATA45,3.0,3.0,3.0,0.0,0.0
LYST-AS1,3.0,3.0,3.0,0.0,0.0
RNVU1-3,3.0,3.0,3.0,0.0,0.0
RPL21P2,3.0,3.0,3.0,0.0,0.0
COX6CP1,3.0,3.0,3.0,0.0,0.0
TM4SF1-AS1,3.0,3.0,3.0,0.0,0.0
TRBV26OR9-2,3.0,3.0,3.0,0.0,0.0
RN7SKP187,3.0,3.0,3.0,0.0,0.0
TIMM8BP2,3.0,3.0,3.0,0.0,0.0
RWDD4P1,3.0,3.0,3.0,0.0,0.0
ZNF663P,3.0,3.0,3.0,0.0,0.0
TRIM51HP,3.0,3.0,3.0,0.0,0.0
PPP1R14C,3.0,3.0,3.0,0.0,0.0
GOLT1A,3.0,3.0,3.0,0.0,0.0
KIRREL-IT1,3.0,3.0,3.0,0.0,0.0
RPS23P6,3.0,3.0,3.0,0.0,0.0
RPL21P39,3.0,3.0,3.0,0.0,0.0
